fnumber,label,accuracy,left x,top y,width,height
1,KIA,100,15,262,28,31
1,KIA,100,54,234,23,29
1,KIA,100,91,211,17,27
1,KIA,91,119,188,20,26
1,KIA,79,148,170,14,22
1,JACOBS_CREEK,100,165,22,71,38
1,KIA,88,169,153,16,25
1,JACOBS_CREEK,100,258,18,76,38
1,IBM,100,282,91,39,18
1,FLY_EMIRATES,100,356,20,73,31
1,KIA,100,398,228,43,21
1,KIA,100,459,18,70,38
1,MELBOURNE,100,505,528,264,28
1,KIA,100,556,18,68,39
1,KIA,100,652,19,68,37
1,KIA,100,750,18,68,38
1,KIA,100,835,231,42,20
1,ANZ,100,853,17,96,35
1,ANZ,100,965,20,93,37
1,ROLEX,100,991,71,22,16
1,FLY_EMIRATES,100,1078,29,68,35
1,KIA,100,1109,159,20,25
1,KIA,99,1135,175,17,27
1,KIA,100,1162,196,20,26
1,MASTER_CARD,90,1237,69,41,30
2,KIA,100,15,262,28,31
2,KIA,100,54,234,23,29
2,KIA,100,91,211,17,27
2,KIA,92,119,188,20,26
2,KIA,79,148,170,14,22
2,JACOBS_CREEK,100,164,22,71,38
2,KIA,89,169,153,16,25
2,JACOBS_CREEK,100,258,18,76,38
2,IBM,100,282,91,38,18
2,FLY_EMIRATES,100,356,20,73,31
2,KIA,100,398,228,43,21
2,KIA,100,459,18,70,38
2,MELBOURNE,100,505,528,264,28
2,KIA,100,556,18,68,39
2,KIA,100,652,19,68,37
2,KIA,100,750,18,68,38
2,KIA,100,835,231,42,20
2,ANZ,100,853,17,96,35
2,ANZ,100,966,20,93,37
2,ROLEX,100,991,71,22,16
2,FLY_EMIRATES,100,1078,29,68,35
2,KIA,100,1109,159,20,25
2,KIA,99,1135,175,17,27
2,KIA,100,1162,196,20,26
2,MASTER_CARD,90,1237,69,41,29
3,KIA,100,15,262,28,31
3,KIA,100,54,234,23,29
3,KIA,100,91,211,17,27
3,KIA,94,119,188,20,26
3,KIA,84,148,170,13,22
3,JACOBS_CREEK,100,165,22,71,38
3,KIA,93,169,153,16,25
3,JACOBS_CREEK,100,258,18,76,38
3,IBM,100,282,91,38,18
3,FLY_EMIRATES,100,356,20,73,31
3,KIA,100,398,228,43,21
3,KIA,100,459,18,70,38
3,MELBOURNE,100,506,528,262,28
3,KIA,100,556,18,67,39
3,KIA,100,652,19,67,37
3,KIA,100,749,18,69,38
3,KIA,100,835,231,42,20
3,ANZ,100,853,16,96,35
3,ANZ,100,966,20,93,37
3,ROLEX,100,991,71,22,16
3,FLY_EMIRATES,100,1079,29,68,36
3,KIA,99,1109,159,20,25
3,KIA,99,1135,175,17,27
3,KIA,100,1162,196,20,26
3,MASTER_CARD,92,1237,69,41,30
4,KIA,100,15,262,28,30
4,KIA,100,54,234,22,29
4,KIA,100,91,211,18,28
4,KIA,94,119,188,19,26
4,KIA,88,149,170,14,22
4,JACOBS_CREEK,100,165,22,71,38
4,KIA,93,169,153,16,26
4,JACOBS_CREEK,100,253,19,79,39
4,IBM,100,283,91,38,18
4,FLY_EMIRATES,100,356,20,72,31
4,KIA,100,398,229,43,21
4,KIA,100,458,18,70,38
4,MELBOURNE,100,507,529,261,28
4,KIA,100,556,18,68,38
4,KIA,100,652,19,67,37
4,KIA,100,750,18,68,38
4,KIA,100,835,231,42,21
4,ANZ,100,852,17,96,35
4,ANZ,100,966,20,93,37
4,ROLEX,100,991,72,22,16
4,FLY_EMIRATES,100,1079,29,68,36
4,KIA,100,1109,159,20,25
4,KIA,99,1135,175,17,28
4,KIA,100,1162,196,20,26
4,MASTER_CARD,87,1237,69,40,30
5,KIA,100,14,262,27,31
5,KIA,100,52,235,23,28
5,KIA,100,88,211,18,28
5,KIA,93,117,189,19,26
5,KIA,88,147,170,14,22
5,JACOBS_CREEK,100,164,22,71,39
5,KIA,95,167,153,16,26
5,JACOBS_CREEK,100,251,19,79,39
5,IBM,100,281,91,38,18
5,FLY_EMIRATES,100,355,20,72,32
5,KIA,100,397,229,43,22
5,KIA,100,457,18,70,38
5,MELBOURNE,100,508,530,259,26
5,KIA,100,555,18,68,38
5,KIA,100,651,19,67,38
5,KIA,100,749,18,68,38
5,KIA,100,834,231,42,21
5,ANZ,100,852,17,96,36
5,ANZ,100,965,20,92,37
5,ROLEX,100,990,72,22,15
5,FLY_EMIRATES,100,1078,28,65,35
5,KIA,100,1108,159,20,25
5,KIA,99,1134,175,18,27
5,KIA,100,1161,197,20,26
5,MASTER_CARD,89,1236,70,41,29
6,KIA,100,9,262,26,32
6,KIA,100,46,236,23,29
6,KIA,100,82,211,19,28
6,KIA,86,112,189,18,24
6,KIA,85,142,170,13,22
6,JACOBS_CREEK,100,159,22,73,39
6,KIA,92,161,153,17,24
6,JACOBS_CREEK,100,251,18,75,38
6,IBM,100,276,91,39,18
6,FLY_EMIRATES,100,350,19,74,32
6,KIA,100,393,228,42,22
6,KIA,100,454,18,69,38
6,MELBOURNE,100,503,531,266,27
6,KIA,100,552,18,68,38
6,KIA,100,647,18,69,38
6,KIA,100,745,17,70,38
6,KIA,100,833,231,41,21
6,ANZ,100,851,16,96,35
6,ANZ,100,965,18,89,38
6,ROLEX,100,989,72,22,15
6,FLY_EMIRATES,100,1078,27,66,36
6,KIA,100,1108,159,20,25
6,KIA,99,1134,175,18,27
6,KIA,100,1161,196,20,26
6,MASTER_CARD,84,1236,69,42,30
7,KIA,99,0,265,23,31
7,KIA,100,34,236,23,30
7,KIA,99,71,212,19,28
7,KIA,97,101,189,19,25
7,KIA,72,130,171,15,23
7,JACOBS_CREEK,100,149,20,75,40
7,KIA,77,153,152,16,25
7,JACOBS_CREEK,100,240,16,81,40
7,IBM,100,269,90,39,19
7,FLY_EMIRATES,100,344,16,76,33
7,KIA,100,388,230,43,22
7,KIA,100,450,15,72,39
7,MELBOURNE,100,496,536,269,31
7,KIA,100,550,15,70,39
7,KIA,100,647,15,71,39
7,KIA,100,747,14,72,39
7,KIA,100,837,232,40,21
7,ANZ,100,855,13,98,36
7,ANZ,100,970,15,93,40
7,ROLEX,100,996,70,21,15
7,FLY_EMIRATES,100,1086,24,67,38
7,KIA,100,1117,159,19,26
7,KIA,98,1142,176,18,26
7,KIA,100,1171,196,20,27
7,MASTER_CARD,54,1245,65,33,34
8,KIA,75,-0,267,6,32
8,KIA,100,19,239,25,28
8,KIA,95,57,213,19,27
8,KIA,100,88,191,20,24
8,KIA,29,140,150,18,28
8,JACOBS_CREEK,95,140,16,73,41
8,JACOBS_CREEK,100,232,8,81,45
8,IBM,99,261,89,39,18
8,FLY_EMIRATES,100,335,13,81,34
8,KIA,100,381,231,45,22
8,KIA,100,446,11,73,39
8,MELBOURNE,100,494,546,268,32
8,KIA,100,549,11,71,40
8,KIA,100,648,11,73,40
8,KIA,100,751,10,72,40
8,KIA,100,843,233,41,22
8,ANZ,100,860,10,96,37
8,ANZ,100,980,13,96,38
8,ROLEX,100,1005,67,21,16
8,FLY_EMIRATES,100,1098,22,70,37
8,KIA,100,1129,159,20,26
8,KIA,100,1154,176,21,27
8,KIA,99,1185,197,19,27
8,MASTER_CARD,83,1263,64,15,28
9,KIA,95,3,241,25,28
9,KIA,100,44,215,20,26
9,KIA,99,76,193,19,24
9,JACOBS_CREEK,95,120,9,85,48
9,KIA,38,129,150,18,26
9,JACOBS_CREEK,100,219,6,87,45
9,IBM,98,251,87,40,19
9,FLY_EMIRATES,100,327,10,84,36
9,KIA,100,376,234,46,22
9,KIA,100,439,8,77,40
9,MELBOURNE,100,495,556,284,30
9,KIA,100,546,7,74,41
9,KIA,100,649,8,74,40
9,KIA,100,754,7,73,41
9,KIA,100,848,236,42,21
9,ANZ,100,866,7,101,37
9,ANZ,100,988,10,97,38
9,ROLEX,100,1014,65,22,16
9,FLY_EMIRATES,85,1110,21,68,37
9,KIA,100,1142,158,21,27
9,KIA,100,1169,175,19,30
9,KIA,100,1198,199,20,27
10,KIA,100,15,262,28,31
10,KIA,100,54,234,23,29
10,KIA,100,91,211,17,27
10,KIA,91,119,188,20,26
10,KIA,79,148,170,14,22
10,JACOBS_CREEK,100,165,22,71,38
10,KIA,88,169,153,16,25
10,JACOBS_CREEK,100,258,18,76,38
10,IBM,100,282,91,39,18
10,FLY_EMIRATES,100,356,20,73,31
10,KIA,100,398,228,43,21
10,KIA,100,459,18,70,38
10,MELBOURNE,100,505,528,264,28
10,KIA,100,556,18,68,39
10,KIA,100,652,19,68,37
10,KIA,100,750,18,68,38
10,KIA,100,835,231,42,20
10,ANZ,100,853,17,96,35
10,ANZ,100,965,20,93,37
10,ROLEX,100,991,71,22,16
10,FLY_EMIRATES,100,1078,29,68,35
10,KIA,100,1109,159,20,25
10,KIA,99,1135,175,17,27
10,KIA,100,1162,196,20,26
10,MASTER_CARD,90,1237,69,41,30
11,KIA,42,1,243,14,30
11,KIA,100,30,216,22,28
11,KIA,99,65,195,19,24
11,KIA,44,120,151,17,26
11,JACOBS_CREEK,60,144,22,85,51
11,JACOBS_CREEK,100,210,4,89,45
11,IBM,96,245,87,41,18
11,FLY_EMIRATES,100,321,7,85,36
11,KIA,100,372,236,45,23
11,KIA,100,436,7,77,39
11,MELBOURNE,100,492,560,285,35
11,KIA,100,544,6,75,39
11,KIA,100,651,7,75,39
11,KIA,100,758,7,74,40
11,KIA,100,853,238,41,22
11,ANZ,100,871,5,103,37
11,ANZ,100,995,3,103,47
11,ROLEX,100,1022,64,23,17
11,KIA,100,1153,159,21,28
11,KIA,100,1181,177,20,30
11,KIA,100,1211,200,20,28
12,KIA,98,19,219,22,28
12,KIA,99,53,197,19,25
12,KIA,37,108,153,18,27
12,JACOBS_CREEK,63,141,23,85,51
12,JACOBS_CREEK,100,201,4,91,45
12,IBM,98,238,87,41,19
12,FLY_EMIRATES,100,316,6,87,36
12,KIA,100,367,240,47,23
12,KIA,100,433,6,79,39
12,MELBOURNE,100,490,573,284,33
12,KIA,100,542,6,76,39
12,KIA,100,651,7,76,39
12,KIA,100,761,6,74,40
12,KIA,100,858,241,41,23
12,ANZ,100,872,2,108,38
12,ANZ,100,1002,2,101,46
12,ROLEX,100,1029,64,22,17
12,FLY_EMIRATES,93,1127,14,73,41
12,KIA,100,1162,161,23,28
12,KIA,100,1191,181,19,28
12,KIA,99,1223,203,20,27
13,KIA,96,10,224,22,27
13,KIA,99,47,201,18,24
13,KIA,60,103,156,16,26
13,JACOBS_CREEK,61,131,24,89,51
13,JACOBS_CREEK,100,196,3,90,45
13,IBM,96,234,89,39,18
13,FLY_EMIRATES,100,313,7,87,36
13,KIA,100,363,243,47,23
13,KIA,100,433,10,74,36
13,MELBOURNE,100,488,579,291,33
13,KIA,100,544,11,73,36
13,KIA,100,653,13,71,34
13,KIA,100,766,10,69,36
13,KIA,100,862,245,39,23
13,ANZ,100,881,6,102,36
13,ANZ,100,1008,5,105,42
13,ROLEX,100,1036,66,22,17
13,FLY_EMIRATES,99,1130,12,86,48
13,KIA,100,1170,164,23,27
13,KIA,99,1200,183,19,30
13,KIA,99,1232,207,20,27
14,KIA,84,3,230,24,25
14,KIA,83,39,205,19,25
14,KIA,63,96,160,19,26
14,JACOBS_CREEK,45,127,23,92,51
14,JACOBS_CREEK,100,195,6,89,46
14,IBM,99,229,93,39,20
14,FLY_EMIRATES,100,310,10,87,37
14,KIA,100,361,248,47,23
14,KIA,100,432,11,74,39
14,MELBOURNE,99,483,589,311,36
14,KIA,100,544,13,72,38
14,KIA,100,652,14,73,37
14,KIA,100,768,12,69,38
14,KIA,100,865,249,40,24
14,ANZ,100,882,7,108,39
14,ANZ,100,1013,9,101,42
14,ROLEX,100,1040,68,23,18
14,FLY_EMIRATES,95,1137,18,87,41
14,KIA,100,1176,170,24,28
14,KIA,100,1206,189,20,28
14,KIA,97,1238,212,20,26
15,KIA,99,36,210,18,24
15,KIA,35,91,163,18,28
15,JACOBS_CREEK,31,126,24,80,49
15,JACOBS_CREEK,100,194,9,87,48
15,IBM,99,225,96,41,19
15,FLY_EMIRATES,100,307,13,88,37
15,KIA,100,359,252,48,24
15,KIA,100,431,14,75,39
15,MELBOURNE,100,483,598,302,34
15,KIA,100,544,15,71,39
15,KIA,100,654,17,71,37
15,KIA,100,768,14,69,38
15,KIA,100,867,255,41,22
15,ANZ,100,889,12,100,37
15,ANZ,100,1018,11,100,43
15,ROLEX,100,1043,72,23,18
15,FLY_EMIRATES,100,1142,18,84,44
15,KIA,100,1182,172,22,29
15,KIA,100,1212,192,19,28
15,KIA,98,1245,215,20,26
16,KIA,98,32,214,18,23
16,JACOBS_CREEK,61,123,23,85,49
16,JACOBS_CREEK,99,187,10,92,49
16,IBM,100,224,99,39,20
16,FLY_EMIRATES,100,306,15,87,38
16,KIA,100,358,257,47,24
16,KIA,100,430,16,75,39
16,MELBOURNE,100,482,604,303,35
16,KIA,100,544,17,70,38
16,KIA,100,655,18,71,38
16,KIA,100,768,16,70,39
16,KIA,100,868,258,42,23
16,ANZ,100,887,12,107,40
16,ANZ,100,1019,13,101,43
16,ROLEX,100,1046,74,22,18
16,FLY_EMIRATES,100,1144,20,85,45
16,KIA,96,1186,176,21,28
16,KIA,100,1216,195,20,30
16,KIA,99,1249,218,21,29
17,KIA,98,29,217,18,25
17,JACOBS_CREEK,33,130,28,69,38
17,JACOBS_CREEK,99,187,11,90,52
17,IBM,97,221,103,40,20
17,FLY_EMIRATES,100,303,17,88,41
17,KIA,100,356,260,48,24
17,KIA,100,430,21,75,36
17,MELBOURNE,100,474,605,320,44
17,KIA,100,543,22,71,36
17,KIA,100,655,23,72,35
17,KIA,100,770,21,69,35
17,KIA,100,869,262,42,23
17,ANZ,100,888,15,105,39
17,ANZ,100,1023,16,99,46
17,ROLEX,100,1048,78,23,17
17,FLY_EMIRATES,99,1153,24,74,44
17,KIA,100,1187,180,24,28
17,KIA,100,1217,199,20,31
17,KIA,87,1252,222,20,28
18,KIA,99,29,222,18,24
18,JACOBS_CREEK,61,133,29,65,38
18,JACOBS_CREEK,99,188,18,85,44
18,IBM,99,222,106,38,20
18,FLY_EMIRATES,100,304,20,88,39
18,KIA,100,356,264,47,24
18,KIA,100,429,24,75,37
18,MELBOURNE,100,475,610,316,42
18,KIA,100,543,26,72,35
18,KIA,100,654,28,72,34
18,KIA,100,770,25,69,36
18,KIA,100,869,266,42,24
18,ANZ,99,889,19,104,42
18,ANZ,100,1023,21,100,43
18,ROLEX,100,1048,81,25,18
18,FLY_EMIRATES,100,1155,28,75,43
18,KIA,99,1189,185,24,27
18,KIA,98,1219,203,19,31
18,KIA,95,1251,226,21,29
19,KIA,98,28,223,20,25
19,JACOBS_CREEK,99,187,20,89,43
19,IBM,99,221,108,39,20
19,FLY_EMIRATES,100,305,24,86,38
19,KIA,100,356,266,47,24
19,KIA,100,429,27,74,37
19,MELBOURNE,100,474,611,320,43
19,KIA,100,544,29,71,34
19,KIA,100,654,31,72,34
19,KIA,100,770,27,69,35
19,KIA,100,870,268,42,23
19,ANZ,100,892,22,99,41
19,ANZ,100,1024,25,100,40
19,ROLEX,100,1049,84,24,17
19,FLY_EMIRATES,100,1156,32,71,43
19,KIA,100,1190,187,23,28
19,KIA,100,1219,206,20,32
19,KIA,90,1251,228,21,29
20,KIA,98,26,223,21,27
20,KIA,91,61,199,17,25
20,KIA,99,86,178,18,27
20,JACOBS_CREEK,100,185,23,96,43
20,IBM,100,219,106,44,21
20,FLY_EMIRATES,100,304,25,87,37
20,KIA,100,356,267,48,24
20,KIA,100,428,27,77,37
20,MELBOURNE,100,475,612,316,44
20,KIA,100,541,30,74,35
20,KIA,100,653,30,74,34
20,KIA,100,769,28,71,36
20,KIA,100,868,269,44,23
20,ANZ,99,889,25,104,34
20,ANZ,100,1024,25,101,41
20,ROLEX,100,1048,84,24,18
20,FLY_EMIRATES,100,1157,32,70,45
20,KIA,100,1189,188,23,28
20,KIA,100,1219,206,19,30
20,KIA,96,1251,229,23,29
21,KIA,100,15,262,28,31
21,KIA,100,54,234,23,29
21,KIA,100,91,211,17,27
21,KIA,92,119,188,20,26
21,KIA,79,148,170,14,22
21,JACOBS_CREEK,100,164,22,71,38
21,KIA,89,169,153,16,25
21,JACOBS_CREEK,100,258,18,76,38
21,IBM,100,282,91,38,18
21,FLY_EMIRATES,100,356,20,73,31
21,KIA,100,398,228,43,21
21,KIA,100,459,18,70,38
21,MELBOURNE,100,505,528,264,28
21,KIA,100,556,18,68,39
21,KIA,100,652,19,68,37
21,KIA,100,750,18,68,38
21,KIA,100,835,231,42,20
21,ANZ,100,853,17,96,35
21,ANZ,100,966,20,93,37
21,ROLEX,100,991,71,22,16
21,FLY_EMIRATES,100,1078,29,68,35
21,KIA,100,1109,159,20,25
21,KIA,99,1135,175,17,27
21,KIA,100,1162,196,20,26
21,MASTER_CARD,90,1237,69,41,29
22,KIA,99,26,223,21,27
22,KIA,72,60,199,18,26
22,KIA,100,86,178,18,27
22,JACOBS_CREEK,100,184,23,97,43
22,IBM,100,219,106,45,21
22,FLY_EMIRATES,100,304,25,87,37
22,KIA,100,356,267,48,24
22,KIA,100,423,23,87,44
22,MELBOURNE,100,477,618,314,35
22,KIA,100,535,22,85,44
22,KIA,100,648,22,85,45
22,KIA,100,762,21,84,46
22,KIA,100,867,269,46,23
22,ANZ,100,887,21,108,40
22,ANZ,100,1023,25,103,41
22,ROLEX,100,1048,84,24,18
22,FLY_EMIRATES,100,1157,32,70,44
22,KIA,100,1190,187,23,28
22,KIA,100,1219,206,19,30
22,KIA,97,1250,228,23,28
23,KIA,99,26,222,21,27
23,KIA,100,86,177,18,28
23,JACOBS_CREEK,100,183,23,98,43
23,IBM,100,218,105,46,21
23,FLY_EMIRATES,100,304,25,87,37
23,KIA,100,356,267,49,24
23,KIA,100,422,23,87,44
23,MELBOURNE,100,479,619,308,34
23,KIA,100,535,22,85,44
23,KIA,100,647,22,85,45
23,KIA,100,760,21,87,46
23,KIA,100,866,269,48,24
23,ANZ,100,887,20,109,41
23,ANZ,100,1023,25,103,41
23,ROLEX,100,1047,84,25,18
23,FLY_EMIRATES,100,1156,33,71,43
23,KIA,100,1190,186,22,29
23,KIA,100,1219,205,19,30
23,KIA,98,1250,228,24,28
24,KIA,99,26,222,21,28
24,KIA,100,86,177,18,28
24,JACOBS_CREEK,100,184,23,98,43
24,IBM,100,218,105,46,21
24,FLY_EMIRATES,100,304,25,87,36
24,KIA,100,356,267,48,24
24,KIA,100,422,23,87,44
24,MELBOURNE,100,479,618,310,35
24,KIA,100,535,22,85,44
24,KIA,100,647,22,86,45
24,KIA,100,760,21,87,47
24,KIA,100,866,269,48,24
24,ANZ,100,888,20,107,42
24,ANZ,100,1023,25,103,41
24,ROLEX,100,1047,84,25,18
24,FLY_EMIRATES,100,1156,32,75,42
24,KIA,100,1190,186,22,28
24,KIA,100,1218,205,19,30
24,KIA,99,1250,228,24,28
25,KIA,100,26,222,21,28
25,KIA,100,86,177,18,27
25,JACOBS_CREEK,100,184,23,97,43
25,IBM,100,218,105,46,21
25,FLY_EMIRATES,100,304,25,87,37
25,KIA,100,356,267,48,24
25,KIA,100,423,23,87,44
25,MELBOURNE,100,473,620,319,32
25,KIA,100,535,22,85,44
25,KIA,100,647,22,85,45
25,KIA,100,761,21,86,46
25,KIA,100,866,269,48,24
25,ANZ,100,889,21,106,41
25,ANZ,100,1023,25,103,41
25,ROLEX,100,1048,84,25,18
25,FLY_EMIRATES,100,1156,33,75,42
25,KIA,100,1190,186,22,29
25,KIA,100,1219,205,19,30
25,KIA,99,1250,228,24,28
26,KIA,100,26,222,21,27
26,KIA,100,86,177,18,27
26,JACOBS_CREEK,100,184,24,98,43
26,IBM,100,218,105,46,21
26,FLY_EMIRATES,100,304,25,87,37
26,KIA,100,356,267,48,24
26,KIA,100,422,23,87,44
26,MELBOURNE,100,471,619,321,33
26,KIA,100,535,22,85,44
26,KIA,100,647,22,86,46
26,KIA,100,761,21,86,46
26,KIA,100,866,269,48,24
26,ANZ,100,888,20,107,42
26,ANZ,100,1022,25,104,41
26,ROLEX,100,1048,84,25,18
26,FLY_EMIRATES,100,1156,33,74,41
26,KIA,100,1190,186,22,29
26,KIA,100,1219,205,18,30
26,KIA,99,1250,228,24,28
27,KIA,100,26,222,22,28
27,KIA,100,86,177,18,27
27,JACOBS_CREEK,100,183,24,99,43
27,IBM,100,217,105,47,21
27,FLY_EMIRATES,100,303,25,88,37
27,KIA,100,356,267,49,24
